filename,pitch,roll,x,y,yaw,z
img134.png,0.0,0.0,-2.4326389366840964,1.0749776081888456,89.6228110048219,1.5
img135.png,0.0,0.0,-2.411640891124422,1.0751158443066076,91.93782952760353,1.5
img136.png,0.0,0.0,-2.3908070762965794,1.0744109445243253,94.29320552876636,1.5
img137.png,0.0,0.0,-2.370146109138926,1.0728599025292653,96.68371705545549,1.5
img138.png,0.0,0.0,-2.349666464509656,1.070459997458153,99.10350706213616,1.5
img139.png,0.0,0.0,-2.3293764751868067,1.067208793897166,101.54615820587746,1.5
img140.png,0.0,0.0,-2.309284331868253,1.0631041418819382,104.00479111472428,1.5
img141.png,0.0,0.0,-2.2893980831717116,1.0581441768975592,106.47218312804576,1.5
img142.png,0.0,0.0,-2.2697256356347393,1.0523273198785728,108.94090286898873,1.5
img143.png,0.0,0.0,-2.2502747537147307,1.045652277208978,111.40345466898742,1.5
img144.png,0.0,0.0,-2.2310530597889238,1.0381180407222277,113.85242600004017,1.5
img145.png,0.0,0.0,-2.2120680341543926,1.0297238877012334,116.28063080215108,1.5
img146.png,0.0,0.0,-2.1933270150280544,1.020469380878358,118.68124195804803,1.5
img147.png,0.0,0.0,-2.1748371985466646,1.010354368435421,121.0479071147062,1.5
img148.png,0.0,0.0,-2.1566056387668215,0.9993789840036971,123.3748434497391,1.5
img149.png,0.0,0.0,-2.138639247664959,0.9875436466639155,125.65690864792037,1.5
img150.png,0.0,0.0,-2.120944795137355,0.9748490609462606,127.88964708568017,1.5
img151.png,0.0,0.0,-2.1035289090001243,0.9612962168303729,130.06931183274494,1.5
img152.png,0.0,0.0,-2.0863980749892255,0.946886389745347,132.19286442418053,1.5
img153.png,0.0,0.0,-2.069558636760453,0.931621140569733,134.25795534486804,1.5
img154.png,0.0,0.0,-2.053016795889444,0.9155023156315347,136.26288877125077,1.5
img155.png,0.0,0.0,-2.0367786118716755,0.8985320467082141,138.2065753532226,1.5
img156.png,0.0,0.0,-2.020850002122463,0.8807127510266837,140.08847674800947,1.5
img157.png,0.0,0.0,-2.005236741976964,0.8620471312633166,141.90854531453448,1.5
img158.png,0.0,0.0,-1.9899444646901736,0.8425381755439358,143.66716192113017,1.5
img159.png,0.0,0.0,-1.9749786614369302,0.8221891574438226,145.36507428645234,1.5
img160.png,0.0,0.0,-1.9603446813119092,0.8010036359877125,147.003337723754,1.5
img161.png,0.0,0.0,-1.9460477313296272,0.7789854556497963,148.58325963742243,1.5
img162.png,0.0,0.0,-1.9320928764244423,0.7561387463537201,150.10634865709864,1.5
img163.png,0.0,0.0,-1.918485039450549,0.7324679234725825,151.57426890398978,1.5
img164.png,0.0,0.0,-1.9052290011819868,0.7079776878289414,152.98879957077403,1.5
img165.png,0.0,0.0,-1.8923294003126296,0.6826730256948064,154.35179975807296,1.5
img166.png,0.0,0.0,-1.8797907334561963,0.6565592087916446,155.66517833876497,1.5
img167.png,0.0,0.0,-1.8676173551462425,0.629641794290376,156.93086850695198,1.5
img168.png,0.0,0.0,-1.8558134778361661,0.6019266248113779,158.15080659988072,1.5
img169.png,0.0,0.0,-1.844383171899203,0.5734198284244796,159.32691474874318,1.5
img170.png,0.0,0.0,-1.833330365628431,0.5441278186489693,160.4610869084733,1.5
img171.png,0.0,0.0,-1.8226588452367665,0.5140572944535877,161.55517782982548,1.5
img172.png,0.0,0.0,-1.8123722548569665,0.4832152402565306,162.61099456265015,1.5
img173.png,0.0,0.0,-1.802474096541629,0.4516089259254512,163.63029011252536,1.5
img174.png,0.0,0.0,-1.7929677302631895,0.4192459067774543,164.61475890993313,1.5
img175.png,0.0,0.0,-1.7838563739139262,0.3861340235791031,165.566033789267,1.5
img176.png,0.0,0.0,-1.7751431033059557,0.35228140254641294,166.48568421237545,1.5
img177.png,0.0,0.0,-1.766830852171236,0.31769645534485735,167.37521550662325,1.5
img178.png,0.0,0.0,-1.7589224121615623,0.282387879089361,168.23606892011668,1.5
img179.png,0.0,0.0,-1.7514204328485745,0.24636465634430904,169.0696223261611,1.5
img180.png,0.0,0.0,-1.7443274217237479,0.20963605512353556,169.87719143537666,1.5
img181.png,0.0,0.0,-1.7376457441984006,0.17221162889033448,170.66003139686458,1.5
img182.png,0.0,0.0,-1.7313776236036895,0.13410121655745333,171.41933869000005,1.5
img183.png,0.0,0.0,-1.7255251411906118,0.09531494248709294,172.1562532256598,1.5
img184.png,0.0,0.0,-1.7200902361300061,0.055863216490912526,172.87186059051447,1.5
img185.png,0.0,0.0,-1.7150747055125484,0.01575673383002285,173.56719438058934,1.5
img186.png,0.0,0.0,-1.7104802043487566,-0.02499352478500616,174.24323858084364,1.5
img187.png,0.0,0.0,-1.7063082455689882,-0.06637629319415461,174.90092995645816,1.5
img188.png,0.0,0.0,-1.702560200023441,-0.10838001978794198,175.541160428896,1.5
img189.png,0.0,0.0,-1.6992372964821518,-0.15099286750743768,176.164779415963,1.5
img190.png,0.0,0.0,-1.6963406216349992,-0.1942027138442527,176.77259612014885,1.5
img191.png,0.0,0.0,-1.6938711200916998,-0.23799715084054296,177.3653817537311,1.5
img192.png,0.0,0.0,-1.6918295943818116,-0.2823634850890129,177.94387169246673,1.5
img193.png,0.0,0.0,-1.6902167049547328,-0.3272887377329061,178.50876755250346,1.5
img194.png,0.0,0.0,-1.6890329701796998,-0.3727596444660175,179.0607391873483,1.5
img195.png,0.0,0.0,-1.6882787663457917,-0.4187626555326809,179.60042660348205,1.5
img196.png,0.0,0.0,-1.6879543276619255,-0.4652839357277807,180.1284417946849,1.5
img197.png,0.0,0.0,-1.6880597462568587,-0.51230936439674,180.64537049618735,1.5
img198.png,0.0,0.0,-1.6885949721791897,-0.5598245354355337,181.15177386065938,1.5
img199.png,0.0,0.0,-1.6895598133973566,-0.6078147572906752,181.64819005871954,1.5
img200.png,0.0,0.0,-1.6909539357996364,-0.6562650529592279,182.13513580713823,1.5
img201.png,0.0,0.0,-1.6927768631941476,-0.7051601599887971,182.61310782827553,1.5
img202.png,0.0,0.0,-1.6950279773088477,-0.7544845304775326,183.0825842445975,1.5
img203.png,0.0,0.0,-1.6977065177915356,-0.8042223310741323,183.544025912263,1.5
img204.png,0.0,0.0,-1.700811582209848,-0.8543574429778351,183.99787769794858,1.5
img205.png,0.0,0.0,-1.7043421260512641,-0.9048734619384292,184.44456970310392,1.5
